user_id,task 1 rip 1,task 1 rip 2,task 1 rip 3,task 2 rip 1,task 2 rip 2,task 2 rip 3,task 3 rip 1,task 3 rip 2,task 3 rip 3,media
1,00:26.71,00:20.77,00:14.21,02:20.71,01:05.59,00:50.11,02:11.26,01:00.79,01:09.55,01:04.41
2,01:00.87,00:31.37,00:20.89,01:02.13,00:45.61,00:53.95,01:25.83,00:48.21,00:54.13,00:51.44
3,00:30.56,00:23.48,00:19.25,00:36.24,00:38.10,00:40.05,03:18.06,01:30.00,00:46.51,00:58.03
4,00:38.86,00:35.76,00:24.45,00:49.56,01:17.51,00:49.10,01:54.14,01:16.56,00:55.83,00:57.97
5,00:36.37,00:24.40,00:16.69,00:45.33,00:59.05,00:52.07,01:02.41,01:13.90,00:41.89,00:45.79
6,00:27.65,00:20.39,00:24.16,00:46.74,00:37.75,00:52.06,01:54.93,01:01.42,01:05.20,00:50.03
7,00:23.03,00:19.68,00:16.04,00:55.33,00:57.85,00:53.58,00:54.32,01:05.26,00:49.72,00:43.87
8,00:41.38,00:36.44,00:21.98,01:14.28,01:05.46,00:49.05,01:13.43,01:03.07,00:51.35,00:52.94
9,00:37.68,00:30.07,00:27.49,01:12.29,01:46.03,00:34.38,00:46.84,01:27.92,01:37.85,01:00.06
10,00:18.13,00:16.32,00:16.14,00:37.48,00:28.32,00:28.25,00:33.64,00:36.84,00:28.29,00:27.05
11,00:21.87,00:21.57,00:17.52,00:47.74,00:35.67,00:39.38,02:01.09,01:24.16,00:40.41,00:47.71
12,00:22.06,00:23.88,00:17.97,00:49.05,00:53.53,00:33.64,01:04.02,01:30.85,00:55.28,00:45.59
13,00:22.17,00:14.40,00:14.45,01:04.08,00:49.60,00:40.34,01:18.31,01:02.83,01:22.55,00:47.64
14,02:34.55,00:27.67,00:31.55,01:03.02,00:52.19,01:48.59,02:44.96,01:48.12,02:35.59,01:36.25
15,00:23.29,00:17.15,00:11.80,01:31.17,00:27.57,00:27.18,01:57.43,01:20.51,03:15.28,01:05.71
16,00:26.02,00:20.05,00:22.75,00:41.53,00:45.95,00:32.88,01:07.05,01:26.89,00:35.83,00:42.11
,00:38.20,00:23.96,00:19.83,01:01.04,00:52.86,00:46.54,01:35.48,01:13.58,01:10.33,